Area (m2);Depth (Thickness) (m);Attached;Channel;Names;Equation
3232.590983;14;1;Channel;;
;45;1;Channel;;
;45;1;Channel;;
;45;1;Channel;;
;45;1;Channel;;
;13.792;1;Channel;;
;18;1;Channel;;
;33.5;1;Channel;;
;35.3;1;Channel;;
;26.2;1;Channel;;
;25.3;1;Channel;;
;28.1;1;Channel;;
;31.7;1;Channel;;
;39.8;1;Channel;;
;38.0;1;Channel;;
;43.4;1;Channel;;
;29.0;1;Channel;;
;42.5;1;Channel;;
;37.1;1;Channel;;
;23.4;1;Channel;;
;26.1;1;Channel;;
;24.3;1;Channel;;
;23.4;1;Channel;;
;22.5;1;Channel;;
;23.4;1;Channel;;
;23.4;1;Channel;;
;22.5;1;Channel;;
;25.2;1;Channel;;
;21.6;1;Channel;;
;24.3;1;Channel;;
;23.4;1;Channel;;
;24.3;1;Channel;;
;28.8;1;Channel;;
;31.5;1;Channel;;
;29.7;1;Channel;;
;31.5;1;Channel;;
;30.6;1;Channel;;
;26.1;1;Channel;;
;29.7;1;Channel;;
;30.6;1;Channel;;
;27;1;Channel;;
;29.7;1;Channel;;
;32.4;1;Channel;;
;31.5;1;Channel;;
;27.9;1;Channel;;
;12.6;1;Channel;;
;13.5;1;Channel;;
;11.7;1;Channel;;
;10.8;1;Channel;;
;11.7;1;Channel;;
;12.6;1;Channel;;
;11.7;1;Channel;;
;12.6;1;Channel;;
;13.5;1;Channel;;
;11.7;1;Channel;;
;12.6;1;Channel;;
;12.6;1;Channel;;
;11.7;1;Channel;;
;72;1;Channel;;
;67.5;1;Channel;;
;72.9;1;Channel;;
;69.3;1;Channel;;
;67.5;1;Channel;;
;72.9;1;Channel;;
;73.8;1;Channel;;
;74.7;1;Channel;;
;75.6;1;Channel;;
;72.9;1;Channel;;
;72;1;Channel;;
;71.1;1;Channel;;
;72.9;1;Channel;;
;17.1;1;Channel;;
;18;1;Channel;;
;16.2;1;Channel;;
;17.1;1;Channel;;
;14.4;1;Channel;;
;15.3;1;Channel;;
;16.2;1;Channel;;
;16.2;1;Channel;;
;15.3;1;Channel;;
;14.4;1;Channel;;
;16.2;1;Channel;;
;17.1;1;Channel;;
;16.2;1;Channel;;
;13.5;1;Channel;;
;12.6;1;Channel;;
;12.6;1;Channel;;
;13.05;1;Channel;;
;14.4;1;Channel;;
;12.6;1;Channel;;
;13.5;1;Channel;;
;14.4;1;Channel;;
;13.5;1;Channel;;
;12.6;1;Channel;;
;12.6;1;Channel;;
;14.4;1;Channel;;
;13.5;1;Channel;;
;20.25;1;Channel;;
;20.7;1;Channel;;
;20.7;1;Channel;;
;21.6;1;Channel;;
;20.25;1;Channel;;
;20.7;1;Channel;;
;22.5;1;Channel;;
;20.7;1;Channel;;
;21.6;1;Channel;;
;22.5;1;Channel;;
;21.6;1;Channel;;
;22.5;1;Channel;;
;19.8;1;Channel;;
;12.6;1;Channel;;
;11.7;1;Channel;;
;11.7;1;Channel;;
;11.25;1;Channel;;
;10.8;1;Channel;;
;11.7;1;Channel;;
;13.5;1;Channel;;
;12.6;1;Channel;;
;11.7;1;Channel;;
;10.8;1;Channel;;
;10.8;1;Channel;;
;12.6;1;Channel;;
;11.7;1;Channel;;
;32.13;1;Channel;;
;33.3;1;Channel;;
;32.4;1;Channel;;
;31.5;1;Channel;;
;30.6;1;Channel;;
;31.5;1;Channel;;
;29.7;1;Channel;;
;30.6;1;Channel;;
;31.5;1;Channel;;
;27.9;1;Channel;;
;26.1;1;Channel;;
;27;1;Channel;;
;26.1;1;Channel;;
;37;1;Channel;;
;35;1;Channel;;
;26;1;Channel;;
;25;1;Channel;;
;34;1;Channel;;
;30;1;Channel;;
;47;1;Channel;;
;33;1;Channel;;
;28;1;Channel;;
;20;1;Channel;;
10335.69466;42.93832593;1;Channel;;
20133.91783;50.76738253;1;Channel;;
21293.0947;52.42768246;1;Channel;;
13421.50043;48.37817043;1;Channel;;
11633.20239;42.23641051;1;Channel;;
18175.18422;43.62674298;1;Channel;;
16025.49865;44.49063888;1;Channel;;
6280.898735;26;1;Channel;;
4330.200421;17;1;Channel;;
;103.1;1;Channel;;
;100.7;1;Channel;;
;80.0;1;Channel;;
;68.5;1;Channel;;
;93.2;1;Channel;;
;75.9;1;Channel;;
;68.0;1;Channel;;
;75.6;1;Channel;;
;75.6;1;Channel;;
;63.0;1;Channel;;
;63.8;1;Channel;;
;63.8;1;Channel;;
;58.8;1;Channel;;
;57.1;1;Channel;;
;67.2;1;Channel;;
;63.8;1;Channel;;
;45.4;1;Channel;;
;77.3;1;Channel;;
;75.6;1;Channel;;
15733.31297;30;1;Channel;;
27572.49934;74;1;Channel;;
11310.60653;41;1;Channel;;
117911.1129;96;1;Channel;;
41281.75784;68;1;Channel;;
