Area (km2);Width (km);Attached/Fan-type;Fans;Plot-types;Equation;;;;
9.16;2.32;1;;;;;;;
0.58;0.65;1;;;;;;;
6.43;1.16;1;;;;;;;
1.02;0.92;1;;;;;;;
5.95;3.35;1;;;;;;;
5.87;2.44;1;;;;;;;
6.66;2.48;1;;;;;;;
1.45;0.60;1;;;;;;;
2.62;1.64;1;;;;;;;
3.33;1.78;1;;;;;;;
4.30;1.21;1;;;;;;;
0.47;0.53;1;;;;;;;
0.47;0.51;1;;;;;;;
4.01;1.44;1;;;;;;;
1.47;0.56;1;;;;;;;
3.49;0.83;1;;;;;;;
1.66;2.85;1;;;;;;;
4.84;2.51;1;;;;;;;
0.43;0.49;1;;;;;;;
7.15;2.60;1;;;;;;;
3.69;0.98;1;;;;;;;
4.33;1.52;1;;;;;;;
3.25;0.89;1;;;;;;;
7.07;1.61;1;;;;;;;
5.90;1.73;1;;;;;;;
0.59;0.97;1;;;;;;;
3.76;1.63;1;;;;;;;
1.52;0.71;1;;;;;;;
1.25;0.83;1;;;;;;;
0.47;0.39;1;;;;;;;
0.22;0.40;1;;;;;;;
1.35;1.17;1;;;;;;;
3.28;1.36;1;;;;;;;
1.85;1.18;1;;;;;;;
10.07;1.82;1;;;;;;;
4.49;2.11;1;;;;;;;
35.97;3.95;1;;;;;;;
1.74;0.65;1;;;;;;;
8.77;2.18;1;;;;;;;
15.47;5.26;1;;;;;;;
12.71;3.67;1;;;;;;;
18.22;5.33;1;;;;;;;
17.52;3.84;1;;;;;;;
38.04;2.57;1;;;;;;;
29.78;5.96;1;;;;;;;
11.20;2.68;1;;;;;;;
9.89;2.16;1;;;;;;;
25.00;3.96;1;;;;;;;
17.83;4.47;1;;;;;;;
11.33;3.17;1;;;;;;;
12.43;4.98;1;;;;;;;
9.74;2.53;1;;;;;;;
8.36;2.70;1;;;;;;;
3.81;2.65;1;;;;;;;
4.82;2.63;1;;;;;;;
29.63;5.19;1;;;;;;;
17.44;4.77;1;;;;;;;
13.28;4.67;1;;;;;;;
12.39;3.40;1;;;;;;;
4.99;1.77;1;;;;;;;
4.03;1.84;1;;;;;;;
