Length (km);Width (km);Attached;Fan;Architectural element;Equation;;;;
8.57;1.16;1;;;;;;;
2.26;0.92;1;;;;;;;
3.31;3.35;1;;;;;;;
4.88;2.44;1;;;;;;;
4.27;2.48;1;;;;;;;
2.81;0.60;1;;;;;;;
2.23;1.64;1;;;;;;;
2.95;1.78;1;;;;;;;
9.00;1.21;1;;;;;;;
1.99;0.53;1;;;;;;;
1.49;0.51;1;;;;;;;
3.83;1.44;1;;;;;;;
3.35;0.56;1;;;;;;;
3.04;0.83;1;;;;;;;
3.27;2.85;1;;;;;;;
4.55;2.51;1;;;;;;;
1.14;0.49;1;;;;;;;
3.62;2.60;1;;;;;;;
5.21;0.98;1;;;;;;;
8.94;1.52;1;;;;;;;
5.84;0.89;1;;;;;;;
8.66;1.61;1;;;;;;;
8.65;1.73;1;;;;;;;
1.27;0.97;1;;;;;;;
4.58;1.63;1;;;;;;;
2.54;0.71;1;;;;;;;
2.38;0.83;1;;;;;;;
1.56;0.39;1;;;;;;;
0.96;0.40;1;;;;;;;
2.03;1.17;1;;;;;;;
3.59;1.36;1;;;;;;;
2.43;1.18;1;;;;;;;
10.55;1.82;1;;;;;;;
3.38;2.11;1;;;;;;;
13.50;3.95;1;;;;;;;
3.45;0.65;1;;;;;;;
5.24;2.18;1;;;;;;;
7.08;5.26;1;;;;;;;
7.02;3.67;1;;;;;;;
6.30;5.33;1;;;;;;;
8.49;3.84;1;;;;;;;
6.25;2.57;1;;;;;;;
10.16;5.96;1;;;;;;;
10.42;2.68;1;;;;;;;
9.59;2.16;1;;;;;;;
9.96;3.96;1;;;;;;;
6.66;4.47;1;;;;;;;
6.47;3.17;1;;;;;;;
12.50;4.98;1;;;;;;;
2.35;2.53;1;;;;;;;
5.65;2.70;1;;;;;;;
6.06;2.65;1;;;;;;;
4.62;2.63;1;;;;;;;
14.19;5.19;1;;;;;;;
9.31;4.77;1;;;;;;;
7.21;4.67;1;;;;;;;
10.35;3.40;1;;;;;;;
5.78;1.77;1;;;;;;;
3.46;1.84;1;;;;;;;
7.59;3.39;1;;;;;;;
8.48;1.36;1;;;;;;;
6.15;1.50;1;;;;;;;
12.91;3.33;1;;;;;;;
10.75;4.69;1;;;;;;;
10.76;3.71;1;;;;;;;
10.73;2.84;1;;;;;;;
5.80;3.03;1;;;;;;;
6.08;2.10;1;;;;;;;
9.86;2.45;1;;;;;;;
7.81;2.43;1;;;;;;;
10.68;2.21;1;;;;;;;
6.19;2.24;1;;;;;;;
4.23;2.20;1;;;;;;;
11.04;1.73;1;;;;;;;
10.51;1.79;1;;;;;;;
13.99;4.51;1;;;;;;;
13.71;3.53;1;;;;;;;
10.52;3.20;1;;;;;;;
8.82;3.04;1;;;;;;;
11.72;2.06;1;;;;;;;
4.73;1.38;1;;;;;;;
3.30;1.14;1;;;;;;;
9.68;2.61;1;;;;;;;
9.85;4.04;1;;;;;;;
5.22;2.67;1;;;;;;;
11.04;8.20;1;;;;;;;
10.04;1.61;1;;;;;;;
5.07;1.18;1;;;;;;;
7.86;3.68;1;;;;;;;
7.52;1.52;1;;;;;;;
4.05;3.31;1;;;;;;;
3.06;2.07;1;;;;;;;
4.03;1.44;1;;;;;;;
17.84;6.51;1;;;;;;;
12.90;2.00;1;;;;;;;
