Width (km);Thickness (max m);Attached;Fan;Architectural type;Equation;;;;
0.39;0.82;1;;;;;;;
1.38;2.15;1;;;;;;;
0.15;0.64;1;;;;;;;
0.74;1.32;1;;;;;;;
0.66;2.01;1;;;;;;;
0.17;0.91;1;;;;;;;
0.95;2.42;1;;;;;;;
0.70;1.51;1;;;;;;;
0.35;1.19;1;;;;;;;
0.38;1.90;1;;;;;;;
1.28;1.23;1;;;;;;;
0.25;0.82;1;;;;;;;
0.91;2.50;1;;;;;;;
0.80;3.01;1;;;;;;;
0.81;1.23;1;;;;;;;
1.44;1.14;1;;;;;;;
0.69;1.09;1;;;;;;;
1.15;0.75;1;;;;;;;
0.12;0.90;1;;;;;;;
0.69;1.44;1;;;;;;;
0.34;1.62;1;;;;;;;
0.60;0.64;1;;;;;;;
0.40;1.36;1;;;;;;;
0.43;1.47;1;;;;;;;
0.19;1.54;1;;;;;;;
0.05;0.97;1;;;;;;;
0.11;0.93;1;;;;;;;
0.16;1.04;1;;;;;;;
0.11;0.97;1;;;;;;;
1.30;4.25;1;;;;;;;
2.07;6.56;1;;;;;;;
1.28;3.52;1;;;;;;;
1.93;4.13;1;;;;;;;
0.20;3.89;1;;;;;;;
1.86;4.98;1;;;;;;;
2.20;7.05;1;;;;;;;
1.80;5.84;1;;;;;;;
2.90;3.47;1;;;;;;;
0.71;3.00;1;;;;;;;
0.96;3.00;1;;;;;;;
0.97;3.00;1;;;;;;;
2.41;5.00;1;;;;;;;
2.40;12.50;1;;;;;;;
0.90;4.00;1;;;;;;;
0.38;5.20;1;;;;;;;
1.42;6.10;1;;;;;;;
0.44;6.50;1;;;;;;;
1.43;6.50;1;;;;;;;
0.95;8.00;1;;;;;;;
0.24;19.40;1;;;;;;;
0.60;4.50;1;;;;;;;
;244.10;1;;;;;;;
;150.00;1;;;;;;;
15.00;120.00;1;;;;;;;
15.00;120.00;1;;;;;;;
15.00;120.00;1;;;;;;;
;88.10;1;;;;;;;
5.00;80.00;1;;;;;;;
;80.00;1;;;;;;;
0.90;74.00;1;;;;;;;
10.00;55.00;1;;;;;;;
0.10;54.00;1;;;;;;;
0.50;50.00;1;;;;;;;
;40.00;1;;;;;;;
17.00;30.00;1;;;;;;;
6.00;20.10;1;;;;;;;
7.00;15.00;1;;;;;;;
2.40;15.00;1;;;;;;;
2.00;15.00;1;;;;;;;
1.00;15.00;1;;;;;;;
;11.20;1;;;;;;;
2.10;11.00;1;;;;;;;
4.00;10.00;1;;;;;;;
1.80;10.00;1;;;;;;;
0.04;10.00;1;;;;;;;
;9.00;1;;;;;;;
2.00;8.00;1;;;;;;;
3.00;5.00;1;;;;;;;
2.00;5.00;1;;;;;;;
2.00;2.00;1;;;;;;;
0.60;2.00;1;;;;;;;
0.39;2.00;1;;;;;;;
9.00;;1;;;;;;;
5.00;;1;;;;;;;
4.00;;1;;;;;;;
2.00;;1;;;;;;;
0.50;;1;;;;;;;
0.42;;1;;;;;;;
