Width (km);Thickness (max m);Attached;Fan;Architectural type;Equation;;;;
2.60;;1;;;;;;;
0.98;;1;;;;;;;
1.52;;1;;;;;;;
0.89;;1;;;;;;;
1.61;;1;;;;;;;
1.73;;1;;;;;;;
0.97;;1;;;;;;;
1.63;;1;;;;;;;
0.71;;1;;;;;;;
0.83;;1;;;;;;;
0.39;;1;;;;;;;
0.40;;1;;;;;;;
1.17;;1;;;;;;;
1.36;;1;;;;;;;
1.18;;1;;;;;;;
1.82;;1;;;;;;;
2.11;;1;;;;;;;
3.95;;1;;;;;;;
0.65;;1;;;;;;;
2.18;;1;;;;;;;
5.26;;1;;;;;;;
3.67;;1;;;;;;;
5.33;;1;;;;;;;
3.84;;1;;;;;;;
2.57;;1;;;;;;;
5.96;;1;;;;;;;
2.68;;1;;;;;;;
2.16;;1;;;;;;;
3.96;;1;;;;;;;
4.47;;1;;;;;;;
3.17;;1;;;;;;;
4.98;;1;;;;;;;
2.53;;1;;;;;;;
2.70;;1;;;;;;;
2.65;;1;;;;;;;
2.63;;1;;;;;;;
5.19;;1;;;;;;;
4.77;;1;;;;;;;
4.67;;1;;;;;;;
3.40;;1;;;;;;;
1.77;;1;;;;;;;
1.84;;1;;;;;;;
3.39;;1;;;;;;;
1.36;;1;;;;;;;
1.50;;1;;;;;;;
3.33;;1;;;;;;;
4.69;;1;;;;;;;
3.71;;1;;;;;;;
2.84;;1;;;;;;;
3.03;;1;;;;;;;
2.10;;1;;;;;;;
2.45;;1;;;;;;;
2.43;;1;;;;;;;
2.21;;1;;;;;;;
2.24;;1;;;;;;;
2.20;;1;;;;;;;
1.73;;1;;;;;;;
1.79;;1;;;;;;;
4.51;;1;;;;;;;
3.53;;1;;;;;;;
3.20;;1;;;;;;;
3.04;;1;;;;;;;
2.06;;1;;;;;;;
1.38;;1;;;;;;;
1.14;;1;;;;;;;
2.61;;1;;;;;;;
4.04;;1;;;;;;;
2.67;;1;;;;;;;
8.20;;1;;;;;;;
1.61;;1;;;;;;;
1.18;;1;;;;;;;
3.68;;1;;;;;;;
1.52;;1;;;;;;;
3.31;;1;;;;;;;
2.07;;1;;;;;;;
1.44;;1;;;;;;;
6.51;;1;;;;;;;
2.00;;1;;;;;;;
3.78;;1;;;;;;;
2.10;;1;;;;;;;
9.35;;1;;;;;;;
10.33;;1;;;;;;;
11.78;;1;;;;;;;
8.44;;1;;;;;;;
7.07;;1;;;;;;;
9.15;;1;;;;;;;
9.30;;1;;;;;;;
6.95;;1;;;;;;;
5.09;;1;;;;;;;
3.16;;1;;;;;;;
7.09;;1;;;;;;;
7.02;;1;;;;;;;
6.43;;1;;;;;;;
13.98;;1;;;;;;;
3.14;;1;;;;;;;
1.92;;1;;;;;;;
6.20;;1;;;;;;;
8.20;;1;;;;;;;
6.31;;1;;;;;;;
4.63;;1;;;;;;;
3.68;;1;;;;;;;
14.09;;1;;;;;;;
11.66;;1;;;;;;;
11.66;;1;;;;;;;
19.15;;1;;;;;;;
20.04;;1;;;;;;;
17.66;;1;;;;;;;
14.85;;1;;;;;;;
13.88;;1;;;;;;;
12.83;;1;;;;;;;
6.31;;1;;;;;;;
2.15;;1;;;;;;;
1.66;;1;;;;;;;
1.37;;1;;;;;;;
5.22;;1;;;;;;;
40.50;95.00;1;;;;;;;
30.38;135.00;1;;;;;;;
5.65;30.00;1;;;;;;;
4.99;125.00;1;;;;;;;
6.32;30.00;1;;;;;;;
7.52;7.00;1;;;;;;;
7.61;7.00;1;;;;;;;
7.21;;1;;;;;;;
7.03;;1;;;;;;;
7.28;;1;;;;;;;
3.04;;1;;;;;;;
5.35;;1;;;;;;;
2.51;;1;;;;;;;
2.04;;1;;;;;;;
2.34;;1;;;;;;;
6.16;;1;;;;;;;
1.63;;1;;;;;;;
1.63;;1;;;;;;;
1.49;;1;;;;;;;
1.69;;1;;;;;;;
1.39;;1;;;;;;;
1.98;;1;;;;;;;
2.29;;1;;;;;;;
6.79;;1;;;;;;;
5.33;;1;;;;;;;
2.54;;1;;;;;;;
4.59;;1;;;;;;;
2.36;;1;;;;;;;
4.75;;1;;;;;;;
3.19;;1;;;;;;;
2.61;;1;;;;;;;
3.56;;1;;;;;;;
4.16;;1;;;;;;;
3.87;;1;;;;;;;
2.81;;1;;;;;;;
3.75;;1;;;;;;;
4.73;;1;;;;;;;
6.10;210.00;1;;;;;;;
4.85;170.00;1;;;;;;;
5.06;160.00;1;;;;;;;
7.63;;1;;;;;;;
6.35;;1;;;;;;;
22.95;60.00;1;;;;;;;
10.13;9.00;1;;;;;;;
7.43;3.00;1;;;;;;;
13.50;9.00;1;;;;;;;
14.18;10.00;1;;;;;;;
13.50;7.00;0;;;;;;;
600.00;4200;0;;;;;;;
232.00;;0;;;;;;;
130.00;2200;0;;;;;;;
475.00;;0;;;;;;;
1430.00;5000;0;;;;;;;
18.90;;0;;;;;;;
50.00;240;0;;;;;;;
41.00;280;0;;;;;;;
120.00;;0;;;;;;;
18.00;;0;;;;;;;
22.80;300;0;;;;;;;
196.00;;0;;;;;;;
100.00;;0;;;;;;;
6.00;;0;;;;;;;
29.00;;0;;;;;;;
55.00;;0;;;;;;;
19.00;;0;;;;;;;
26.00;;0;;;;;;;
22.00;;0;;;;;;;
150.00;;0;;;;;;;
280.00;3000;0;;;;;;;
14.00;;0;;;;;;;
60.00;370;0;;;;;;;
