Area (km2);Volume (km3);Attached;MTD;Arcitectural Structure;Equation;;;;;;;;;;;;
569.24;18.26;1;;;;;;;;;;;;;;;
826.87;21.49;1;;;;;;;;;;;;;;;
469.73;10.53;1;;;;;;;;;;;;;;;
238.07;3.67;1;;;;;;;;;;;;;;;
463.24;17.33;1;;;;;;;;;;;;;;;
81.9;0.96;1;;;;;;;;;;;;;;;
697.61;13.95;1;;;;;;;;;;;;;;;
223.27;3.19;1;;;;;;;;;;;;;;;
170.15;1.53;1;;;;;;;;;;;;;;;
117.82;1.73;1;;;;;;;;;;;;;;;
338.28;5.67;1;;;;;;;;;;;;;;;
135.92;1.84;1;;;;;;;;;;;;;;;
746.23;19.4;1;;;;;;;;;;;;;;;
1003.38;27.36;1;;;;;;;;;;;;;;;
341.02;4.73;1;;;;;;;;;;;;;;;
121.01;1.44;1;;;;;;;;;;;;;;;
23000;5000;1;;;;;;;;;;;;;;;
13000;1000;1;;;;;;;;;;;;;;;
200;40;1;;;;;;;;;;;;;;;
677;7.45;0;;;;;;;;;;;;;;;
644;3.22;0;;;;;;;;;;;;;;;
430;20;0;;;;;;;;;;;;;;;
300;45;0;;;;;;;;;;;;;;;
194;20;0;;;;;;;;;;;;;;;
180;54;0;;;;;;;;;;;;;;;
110;9;0;;;;;;;;;;;;;;;
100;3.06;0;;;;;;;;;;;;;;;
100;0.94;0;;;;;;;;;;;;;;;
95;4.8;0;;;;;;;;;;;;;;;
85;0.8;0;;;;;;;;;;;;;;;
78;6.5;0;;;;;;;;;;;;;;;
71;4.8;0;;;;;;;;;;;;;;;
70;5.1;0;;;;;;;;;;;;;;;
62;5.1;0;;;;;;;;;;;;;;;
62;4.6;0;;;;;;;;;;;;;;;
62;4.5;0;;;;;;;;;;;;;;;
60;6;0;;;;;;;;;;;;;;;
56;5.5;0;;;;;;;;;;;;;;;
56;0.5;0;;;;;;;;;;;;;;;
55;6.9;0;;;;;;;;;;;;;;;
52;5.2;0;;;;;;;;;;;;;;;
52;5.2;0;;;;;;;;;;;;;;;
50;3.75;0;;;;;;;;;;;;;;;
48;4.3;0;;;;;;;;;;;;;;;
48;1.8;0;;;;;;;;;;;;;;;
48;0.142;0;;;;;;;;;;;;;;;
45;0.1;0;;;;;;;;;;;;;;;
44;3.1;0;;;;;;;;;;;;;;;
44;2.8;0;;;;;;;;;;;;;;;
44;0.25;0;;;;;;;;;;;;;;;
42;3.6;0;;;;;;;;;;;;;;;
42;2.1;0;;;;;;;;;;;;;;;
40;3.2;0;;;;;;;;;;;;;;;
40;0.4;0;;;;;;;;;;;;;;;
39;2.6;0;;;;;;;;;;;;;;;
38;1.9;0;;;;;;;;;;;;;;;
36;3.6;0;;;;;;;;;;;;;;;
35;1.3;0;;;;;;;;;;;;;;;
34;3.9;0;;;;;;;;;;;;;;;
34;1;0;;;;;;;;;;;;;;;
33;1.8;0;;;;;;;;;;;;;;;
33;0.5;0;;;;;;;;;;;;;;;
32;6.3;0;;;;;;;;;;;;;;;
30;5.4;0;;;;;;;;;;;;;;;
30;1.1;0;;;;;;;;;;;;;;;
29;1.6;0;;;;;;;;;;;;;;;
28;2.7;0;;;;;;;;;;;;;;;
28;1.1;0;;;;;;;;;;;;;;;
27;2.3;0;;;;;;;;;;;;;;;
27;1.1;0;;;;;;;;;;;;;;;
25;1.5;0;;;;;;;;;;;;;;;
24;4.5;0;;;;;;;;;;;;;;;
22;3.3;0;;;;;;;;;;;;;;;
